Product ID,Product Name,Product Slug,Product SKU,Short Description,Long Description,Base Model,Category,Category ID,Tags (;-separated),Product Images (;-separated),Status,Is Active,Variation Index,Condition,Color,Storage,Capacity,Interface,Variant Name,Price (GBP),Sale Price (GBP),Stock Quantity,Stock Status,Variation SKU,Variation Images (;-separated),Weight (g),Lead Time Min (days),Lead Time Max (days),Lead Time Display,Length (cm),Width (cm),Height (cm),Attributes (;-separated),Created At,Updated At
68aa920fda54cf773f580f7b,GrapheneOS Pixel 7,pixel-7,PX-975093-NATC,Pixel 7 with GrapheneOS Pre-installed - Privacy-Focused Android Alternative,"Pixel 7 with GrapheneOS Pre-installed. This Privacy-Focused Android Alternative 
             features hardware identical to Google Pixel 7. Custom ROM - GrapheneOS provides enhanced privacy and security while
             maintaining full functionality.",Pixel 7,,,,/images/placeholder.png,active,true,3,good,Snow,128GB,,,,325,,10,in_stock,PX-975093-NATC-B-SN-128-3,/images/placeholder.png,100,5,7,5-7 working days,10,10,5,Storage:128GB;Model:Pixel 7,2025-08-24T04:16:15.095Z,2025-08-24T04:16:15.095Z
68aa920fda54cf773f580f71,GrapheneOS Pixel 7A,pixel-7a,PX-975036-VTMF,Pixel 7A with GrapheneOS Pre-installed - Privacy-Focused Android Alternative,Pixel 7A with GrapheneOS Pre-installed. This Privacy-Focused Android Alternative features hardware identical to Google Pixel 7A. Custom ROM - GrapheneOS provides enhanced privacy and security while maintaining full functionality.,Pixel 7A,,,,/images/placeholder.png,active,true,0,excellent,Sea,,,,,290,,14,in_stock,PX-975036-VTMF-A-SE-128-0,/images/placeholder.png,100,5,7,5-7 working days,10,10,5,Storage:128GB;Model:Pixel 7A,2025-08-24T04:16:15.038Z,2025-08-24T10:36:08.880Z
68aa920fda54cf773f580f71,GrapheneOS Pixel 7A,pixel-7a,PX-975036-VTMF,Pixel 7A with GrapheneOS Pre-installed - Privacy-Focused Android Alternative,Pixel 7A with GrapheneOS Pre-installed. This Privacy-Focused Android Alternative features hardware identical to Google Pixel 7A. Custom ROM - GrapheneOS provides enhanced privacy and security while maintaining full functionality.,Pixel 7A,,,,/images/placeholder.png,active,true,1,excellent,Snow,,,,,275,,10,in_stock,PX-975036-VTMF-B-SN-128-1,/images/placeholder.png,100,5,7,5-7 working days,10,10,5,Storage:128GB;Model:Pixel 7A,2025-08-24T04:16:15.038Z,2025-08-24T10:36:08.880Z
68aa920fda54cf773f580f71,GrapheneOS Pixel 7A,pixel-7a,PX-975036-VTMF,Pixel 7A with GrapheneOS Pre-installed - Privacy-Focused Android Alternative,Pixel 7A with GrapheneOS Pre-installed. This Privacy-Focused Android Alternative features hardware identical to Google Pixel 7A. Custom ROM - GrapheneOS provides enhanced privacy and security while maintaining full functionality.,Pixel 7A,,,,/images/placeholder.png,active,true,2,good,Sea,,,,,280,,10,in_stock,PX-975036-VTMF-B-SE-128-2,/images/placeholder.png,100,5,7,5-7 working days,10,10,5,Storage:128GB;Model:Pixel 7A,2025-08-24T04:16:15.038Z,2025-08-24T10:36:08.880Z
68aa920eda54cf773f580f68,GrapheneOS Pixel 6,pixel-6,PX-974981-KSQP,Pixel 6 with GrapheneOS Pre-installed - Privacy-Focused Android Alternative,"Pixel 6 with GrapheneOS Pre-installed. This Privacy-Focused Android Alternative 
             features hardware identical to Google Pixel 6. Custom ROM - GrapheneOS provides enhanced privacy and security while
             maintaining full functionality.",Pixel 6,,,,/images/placeholder.png,active,true,0,fair,Stormy Black,,,,,250,,12,in_stock,PX-974981-KSQP-C-ST-128-1,/images/placeholder.png,100,5,7,5-7 working days,10,10,5,Storage:128GB;Model:Pixel 6,2025-08-24T04:16:14.983Z,2025-08-24T10:28:54.493Z
68aa920eda54cf773f580f68,GrapheneOS Pixel 6,pixel-6,PX-974981-KSQP,Pixel 6 with GrapheneOS Pre-installed - Privacy-Focused Android Alternative,"Pixel 6 with GrapheneOS Pre-installed. This Privacy-Focused Android Alternative 
             features hardware identical to Google Pixel 6. Custom ROM - GrapheneOS provides enhanced privacy and security while
             maintaining full functionality.",Pixel 6,,,,/images/placeholder.png,active,true,1,good,Sorta Seaform,,,,,265,,13,in_stock,PX-974981-KSQP-B-SO-128-3,,100,5,7,5-7 working days,10,10,5,Storage:128GB;Model:Pixel 6,2025-08-24T04:16:14.983Z,2025-08-24T10:28:54.493Z
68aa920eda54cf773f580f68,GrapheneOS Pixel 6,pixel-6,PX-974981-KSQP,Pixel 6 with GrapheneOS Pre-installed - Privacy-Focused Android Alternative,"Pixel 6 with GrapheneOS Pre-installed. This Privacy-Focused Android Alternative 
             features hardware identical to Google Pixel 6. Custom ROM - GrapheneOS provides enhanced privacy and security while
             maintaining full functionality.",Pixel 6,,,,/images/placeholder.png,active,true,2,good,Kinda Coral,,,,,275,,19,in_stock,PX-974981-KSQP-B-KI-128-4,,100,5,7,5-7 working days,10,10,5,Storage:128GB;Model:Pixel 6,2025-08-24T04:16:14.983Z,2025-08-24T10:28:54.493Z
68aa920eda54cf773f580f68,GrapheneOS Pixel 6,pixel-6,PX-974981-KSQP,Pixel 6 with GrapheneOS Pre-installed - Privacy-Focused Android Alternative,"Pixel 6 with GrapheneOS Pre-installed. This Privacy-Focused Android Alternative 
             features hardware identical to Google Pixel 6. Custom ROM - GrapheneOS provides enhanced privacy and security while
             maintaining full functionality.",Pixel 6,,,,/images/placeholder.png,active,true,3,good,Stormy Black,,,,,280,,14,in_stock,PX-974981-KSQP-B-ST-128-5,,100,5,7,5-7 working days,10,10,5,Storage:128GB;Model:Pixel 6,2025-08-24T04:16:14.983Z,2025-08-24T10:28:54.493Z
68aa920eda54cf773f580f68,GrapheneOS Pixel 6,pixel-6,PX-974981-KSQP,Pixel 6 with GrapheneOS Pre-installed - Privacy-Focused Android Alternative,"Pixel 6 with GrapheneOS Pre-installed. This Privacy-Focused Android Alternative 
             features hardware identical to Google Pixel 6. Custom ROM - GrapheneOS provides enhanced privacy and security while
             maintaining full functionality.",Pixel 6,,,,/images/placeholder.png,active,true,4,good,Stormy Black,,,,,340,,17,in_stock,PX-974981-KSQP-B-ST-256-6,,100,5,7,5-7 working days,10,10,5,Storage:128GB;Model:Pixel 6,2025-08-24T04:16:14.983Z,2025-08-24T10:28:54.493Z
68aa920eda54cf773f580f5c,GrapheneOS Pixel 6A,pixel-6a,PX-974917-3F9U,Pixel 6A with GrapheneOS Pre-installed - Privacy-Focused Android Alternative,"Pixel 6A with GrapheneOS Pre-installed. This Privacy-Focused Android Alternative 
             features hardware identical to Google Pixel 6A. Custom ROM - GrapheneOS provides enhanced privacy and security while
             maintaining full functionality.",Pixel 6A,,,,/images/placeholder.png,active,true,0,fair,Charcoal,,,,,240,,10,in_stock,PX-974917-3F9U-C-CH-128-0,/images/placeholder.png,100,5,7,5-7 working days,10,10,5,Storage:128GB;Model:Pixel 6A,2025-08-24T04:16:14.925Z,2025-08-24T10:02:56.225Z
68aa920eda54cf773f580f5c,GrapheneOS Pixel 6A,pixel-6a,PX-974917-3F9U,Pixel 6A with GrapheneOS Pre-installed - Privacy-Focused Android Alternative,"Pixel 6A with GrapheneOS Pre-installed. This Privacy-Focused Android Alternative 
             features hardware identical to Google Pixel 6A. Custom ROM - GrapheneOS provides enhanced privacy and security while
             maintaining full functionality.",Pixel 6A,,,,/images/placeholder.png,active,true,1,fair,Sage,,,,,240,,10,in_stock,PX-974917-3F9U-C-SA-128-1,/images/placeholder.png,100,5,7,5-7 working days,10,10,5,Storage:128GB;Model:Pixel 6A,2025-08-24T04:16:14.925Z,2025-08-24T10:02:56.225Z
68aa920eda54cf773f580f5c,GrapheneOS Pixel 6A,pixel-6a,PX-974917-3F9U,Pixel 6A with GrapheneOS Pre-installed - Privacy-Focused Android Alternative,"Pixel 6A with GrapheneOS Pre-installed. This Privacy-Focused Android Alternative 
             features hardware identical to Google Pixel 6A. Custom ROM - GrapheneOS provides enhanced privacy and security while
             maintaining full functionality.",Pixel 6A,,,,/images/placeholder.png,active,true,2,good,Chalk,,,,,250,,10,in_stock,PX-974917-3F9U-B-CH-128-2,/images/placeholder.png,100,5,7,5-7 working days,10,10,5,Storage:128GB;Model:Pixel 6A,2025-08-24T04:16:14.925Z,2025-08-24T10:02:56.225Z
68aa920eda54cf773f580f5c,GrapheneOS Pixel 6A,pixel-6a,PX-974917-3F9U,Pixel 6A with GrapheneOS Pre-installed - Privacy-Focused Android Alternative,"Pixel 6A with GrapheneOS Pre-installed. This Privacy-Focused Android Alternative 
             features hardware identical to Google Pixel 6A. Custom ROM - GrapheneOS provides enhanced privacy and security while
             maintaining full functionality.",Pixel 6A,,,,/images/placeholder.png,active,true,3,good,Charcoal,,,,,250,,10,in_stock,PX-974917-3F9U-B-CH-128-3,/images/placeholder.png,100,5,7,5-7 working days,10,10,5,Storage:128GB;Model:Pixel 6A,2025-08-24T04:16:14.925Z,2025-08-24T10:02:56.225Z
68aa920eda54cf773f580f5c,GrapheneOS Pixel 6A,pixel-6a,PX-974917-3F9U,Pixel 6A with GrapheneOS Pre-installed - Privacy-Focused Android Alternative,"Pixel 6A with GrapheneOS Pre-installed. This Privacy-Focused Android Alternative 
             features hardware identical to Google Pixel 6A. Custom ROM - GrapheneOS provides enhanced privacy and security while
             maintaining full functionality.",Pixel 6A,,,,/images/placeholder.png,active,true,4,good,Sage,,,,,250,,10,in_stock,PX-974917-3F9U-B-SA-128-4,/images/placeholder.png,100,5,7,5-7 working days,10,10,5,Storage:128GB;Model:Pixel 6A,2025-08-24T04:16:14.925Z,2025-08-24T10:02:56.225Z
68aa920eda54cf773f580f5c,GrapheneOS Pixel 6A,pixel-6a,PX-974917-3F9U,Pixel 6A with GrapheneOS Pre-installed - Privacy-Focused Android Alternative,"Pixel 6A with GrapheneOS Pre-installed. This Privacy-Focused Android Alternative 
             features hardware identical to Google Pixel 6A. Custom ROM - GrapheneOS provides enhanced privacy and security while
             maintaining full functionality.",Pixel 6A,,,,/images/placeholder.png,active,true,5,excellent,Chalk,,,,,260,,15,in_stock,PX-974917-3F9U-A-CH-128-5,,100,5,7,5-7 working days,10,10,5,Storage:128GB;Model:Pixel 6A,2025-08-24T04:16:14.925Z,2025-08-24T10:02:56.225Z
68aa920eda54cf773f580f5c,GrapheneOS Pixel 6A,pixel-6a,PX-974917-3F9U,Pixel 6A with GrapheneOS Pre-installed - Privacy-Focused Android Alternative,"Pixel 6A with GrapheneOS Pre-installed. This Privacy-Focused Android Alternative 
             features hardware identical to Google Pixel 6A. Custom ROM - GrapheneOS provides enhanced privacy and security while
             maintaining full functionality.",Pixel 6A,,,,/images/placeholder.png,active,true,6,fair,Chalk,,,,,235,,11,in_stock,PX-974917-3F9U-C-CH-128-6,,100,5,7,5-7 working days,10,10,5,Storage:128GB;Model:Pixel 6A,2025-08-24T04:16:14.925Z,2025-08-24T10:02:56.225Z
68aa920eda54cf773f580f5c,GrapheneOS Pixel 6A,pixel-6a,PX-974917-3F9U,Pixel 6A with GrapheneOS Pre-installed - Privacy-Focused Android Alternative,"Pixel 6A with GrapheneOS Pre-installed. This Privacy-Focused Android Alternative 
             features hardware identical to Google Pixel 6A. Custom ROM - GrapheneOS provides enhanced privacy and security while
             maintaining full functionality.",Pixel 6A,,,,/images/placeholder.png,active,true,7,excellent,Charcoal,,,,,260,,0,in_stock,PX-974917-3F9U-A-CH-128-7,,100,5,7,5-7 working days,10,10,5,Storage:128GB;Model:Pixel 6A,2025-08-24T04:16:14.925Z,2025-08-24T10:02:56.225Z
68aa920eda54cf773f580f5c,GrapheneOS Pixel 6A,pixel-6a,PX-974917-3F9U,Pixel 6A with GrapheneOS Pre-installed - Privacy-Focused Android Alternative,"Pixel 6A with GrapheneOS Pre-installed. This Privacy-Focused Android Alternative 
             features hardware identical to Google Pixel 6A. Custom ROM - GrapheneOS provides enhanced privacy and security while
             maintaining full functionality.",Pixel 6A,,,,/images/placeholder.png,active,true,8,excellent,Sage,,,,,265,,0,in_stock,PX-974917-3F9U-C-SA-128-8,,100,5,7,5-7 working days,10,10,5,Storage:128GB;Model:Pixel 6A,2025-08-24T04:16:14.925Z,2025-08-24T10:02:56.225Z
